realec_group,my_group
spelling,spelling
spelling,-
spelling,word_choice
spelling,word_choice
spelling,word_choice
prepositions,verb
word_choice,spelling
word_choice,-
word_choice,-
discource,discource
absence/redundant,-
discource,-
discource,-
numeral,numeral
prepositions,-
discource,relative_clause
word_choice,absence/redundant
word_choice,-
discource,punctuation
word_choice,word_choice
absence/redundant,absence/redundant
absence/redundant,absence/redundant
word_choice,word_choice
standard_word_order,standard_word_order
relative_clause,relative_clause
relative_clause,relative_clause
absence/redundant,-
word_choice,word_choice
word_choice,word_choice
absence/redundant,absence/redundant
tense_choice,tense_choice
word_choice,word_choice
word_choice,-
discource,standard_word_order
discource,word_choice
absence/redundant,degree
absence/redundant,absence/redundant
discource,discource
discource,-
spelling,spelling
standard_word_order,spelling
discource,-
verb,verb
absence/redundant,verb
word_choice,word_choice
word_choice,word_choice
absence/redundant,-
standard_word_order,standard_word_order
absence/redundant,verb
absence/redundant,relative_clause
absence/redundant,verb
prepositions,prepositions
word_choice,-
word_choice,tense_choice
absence/redundant,relative_clause
word_choice,word_choice
word_choice,word_choice
standard_word_order,standard_word_order
word_choice,word_choice
word_choice,-
parallel,parallel
word_choice,-
prepositions,word_choice
tense_choice,agreement
prepositions,verb
prepositions,verb
discource,discource
relative_clause,relative_clause
standard_word_order,standard_word_order
absence/redundant,parallel
word_choice,word_choice
absence/redundant,absence/redundant
prepositions,absence/redundant
word_choice,word_choice
word_choice,word_choice
verb,absence/redundant
verb,discource
standard_word_order,standard_word_order
spelling,spelling
spelling,spelling
word_choice,word_choice
spelling,spelling
absence/redundant,absence/redundant
spelling,spelling
prepositions,word_choice
noun_number,-
word_choice,relative_clause
noun_number,noun_number
noun_number,discource
word_choice,word_choice
discource,discource
verb,-
word_choice,word_choice
word_choice,word_choice
absence/redundant,-
absence/redundant,absence/redundant
absence/redundant,absence/redundant
word_choice,word_choice
absence/redundant,-